Value.ElapsedTime,Value.Mode,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.LostFocusTime,Value.CurrentRepetition,Value.TrajectoryRepetitionStart,Value.TrajectoryRepetitionEnd
6808,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,-0.041873619,1.208447576,0.498567402,,,,
6822,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.055732496,1,,
6892,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
6892,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,-0.04292823,1.205489039,0.502063096,,,,
6947,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.041787501,1,,
6975,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
6975,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,-0.050173637,1.205550671,0.499179393,,,,
7059,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
7059,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,-0.05433147,1.2065624,0.501981854,,,,
7072,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.0279037,1,,
7142,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
7142,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,-0.061718691,1.20437634,0.502319694,,,,
