Value.ElapsedTime,Value.Time,Value.TimerShowed,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
56103,2022-09-28 11:04:22 AM,,PegboardData,,,RightControllerPosition,0.003201135667040944,-0.03260711207985878,0.4455779194831848
56186,2022-09-28 11:04:22 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
56186,2022-09-28 11:04:22 AM,,PegboardData,,,RightControllerPosition,-0.012525436468422413,-0.022841129451990128,0.4785684645175934
56270,2022-09-28 11:04:22 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
56270,2022-09-28 11:04:22 AM,,PegboardData,,,RightControllerPosition,-0.02664482407271862,-0.027165280655026436,0.507594645023346
56353,2022-09-28 11:04:22 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
56353,2022-09-28 11:04:22 AM,,PegboardData,,,RightControllerPosition,-0.030215945094823837,-0.03816448524594307,0.5341504216194153
56436,2022-09-28 11:04:22 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
56436,2022-09-28 11:04:22 AM,,PegboardData,,,RightControllerPosition,-0.02930484712123871,-0.056190844625234604,0.5512961149215698
56519,2022-09-28 11:04:22 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
56519,2022-09-28 11:04:22 AM,,PegboardData,,,RightControllerPosition,-0.030497156083583832,-0.06855694204568863,0.5587993264198303
56605,2022-09-28 11:04:22 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
56605,2022-09-28 11:04:22 AM,,PegboardData,,,RightControllerPosition,-0.027744941413402557,-0.07745810598134995,0.5603461265563965
56687,2022-09-28 11:04:22 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
56687,2022-09-28 11:04:22 AM,,PegboardData,,,RightControllerPosition,-0.02575482428073883,-0.07746697962284088,0.55198073387146
56772,2022-09-28 11:04:22 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
56772,2022-09-28 11:04:22 AM,,PegboardData,,,RightControllerPosition,-0.030120138078927994,-0.06772502511739731,0.5338146686553955
56854,2022-09-28 11:04:22 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
56854,2022-09-28 11:04:22 AM,,PegboardData,,,RightControllerPosition,-0.03307897970080376,-0.057530831545591354,0.5093310475349426
56938,2022-09-28 11:04:22 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
56938,2022-09-28 11:04:22 AM,,PegboardData,,,RightControllerPosition,-0.04257052019238472,-0.056209348142147064,0.46920615434646606
57022,2022-09-28 11:04:23 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
57022,2022-09-28 11:04:23 AM,,PegboardData,,,RightControllerPosition,-0.057461582124233246,-0.071330726146698,0.4135435223579407
57105,2022-09-28 11:04:23 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
57105,2022-09-28 11:04:23 AM,,PegboardData,,,RightControllerPosition,-0.061598584055900574,-0.11194514483213425,0.37273308634757996
